node_id,true_best,tb_fam,top1_business_id,top1_label,hit1,hit3
200cb3d92216db4ff8d8fdff3743f60f,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2012c64fab514b144d1bc822c807ed27,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2028253e47b2cdf3532c902a65cdb3f7,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
202eefac95353d4e9c027617700d183e,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
203876767101bd66b6abc318c478ff91,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
204b17d56c5fc713e7f285e9e98d5b88,10000123,10000123,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
2051e999a947fc29701c2fc1655adcd7,10000303,10000303,10000244,B站专线-盒子V2 10000244,0,0
207eec83b6d078342b09409159c52510,10000300,10000300,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
209992227d85dbfbb8edcb5279674d4d,10000183,10000183,10000034,优酷专线 10000034,0,0
209c583bf0e775c778281baadb4db58b,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
20df71a654019f412caabd563b33884e,10000278,10000278,1380460970,七牛CDN 1380460970,0,0
21165ab637c90d86cbd5ec70e49ce187,10000069,10000069,1380460970,七牛CDN 1380460970,0,0
21241afa28b7985b3b3c411047af98c0,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2135001128f3820ff82ce185b522b10d,10000069,10000069,10000078,七牛特招 10000078,0,0
213f28565b9148da493e439f530568c7,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
2164df7cb11a8a5e10a81f6d2ea6bcbb,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
21965548c9fb0c347c8708f049b52084,10000088,10000088,10000244,B站专线-盒子V2 10000244,0,0
21ad5269a7bf0038c7dc81cbe9449fb7,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
21d073109a7aa2775ef1e265a2153b42,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
21e932c6e86f61e1feff0b22d0322b9e,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2200869c1d13af205237df33a4b846b1,10000304,10000304,10000244,B站专线-盒子V2 10000244,0,0
2218a9ddcd8e18f98f53cb2b76d62048,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
222bcf487f67bc4e5381cdacfabfa1e6,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
222eafa242f4ba96912131ca789e921c,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2249002af95103efd4e597f7cc39df08,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2276517864b12192a819a02ceba2e3d0,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
227c8e27ca41dc475871ddfdfa708c01,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
227f5b782bb0bfe87749bd0677311b6d,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2286b11ac579834de22621ecb669efac,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
228d7d5a4263ce02f50fa0d223f4132b,10000304,10000304,10000244,B站专线-盒子V2 10000244,0,0
229f0aa459275c574ef56809165eaa25,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
22adfcde0526e8d73becbe6affdb7716,10000001,10000001,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
230a207a23b70e3b2ec2350a8173f35d,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
231cb8291a8720051330abb1bbcb6a1e,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2323e02173941f05e3e7314c9ce47a6c,10000003,10000003,10000244,B站专线-盒子V2 10000244,0,0
23495a2f3aa75c2d14d56a5625abda4a,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
23496aeca516d4e69ef1c0f1f8e20cf0,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
239636c273eaddfab588db23128808e7,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
23c0c7be400ed272c209d106a5223ba0,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
23d80423b481412f819d91535798bfcb,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
23e20427d4aadcd9a75196072cac8fb1,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
23f9695255e10c9b36aaedbec82a60ba,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2414e9a9f92a53d7acf1b5f2e24337e7,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
241f31ec1fe8579bbf538da8725dfbf8,10000019,10000019,10000244,B站专线-盒子V2 10000244,0,0
242820c909e5a9c6328e26ce25f42c5f,10000304,10000304,10000034,优酷专线 10000034,0,0
24366eae1960b11081d4c3f4fd96e1ec,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
2463484005c2d8967bfff1b61dd168f8,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
247adedb9aef603f499a24890876c740,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
24e7a7db5a99aca115a5aeb781f1e54d,10000304,10000304,10000304,快手严选 10000304,1,1
24f6b8289c1a5d0a599154dc9e4eec94,10000064,10000064,10000069,腾讯汇聚P2P 10000069,0,0
24fa542f4d853d4d6c7e869b176bf038,10000304,10000304,10000096,字节架构专线V3 10000096,0,1
250ae97e71aef6f8ecf5e8520fc331da,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2547d824bf03ee9cbbaa1f9abea1d9e0,10000079,10000079,1380460970,七牛CDN 1380460970,0,0
254f1869b650b74a115218d1f1fc83be,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2551f2896bc5224c356a17b2accf6376,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,1
255b6da6628c55b75fa3e7b47984dfae,10000041,10000041,1381526443,爱奇艺 1381526443,0,0
255f04a1333822c18aef3083ca065404,10000304,10000304,10000244,B站专线-盒子V2 10000244,0,0
255f04a1333822c18aef3083ca0654a0,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
255fbcec80f0390bd669e3a12633b972,10000183,10000183,10000034,优酷专线 10000034,0,0
25722a2c7cb4976ab5d50157e4af6119,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
258e3d639d80698a6f0914bddcb278db,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
25af65029d3c8794744867267039fbbd,10000088,10000088,10000191,腾讯专线-80 10000191,0,0
25b8f24fe3ed09ad19be95ea369d746b,10000122,10000122,10000069,腾讯汇聚P2P 10000069,0,0
2613f8451ea73cde7e4cca570ffce840,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
262a5970e78c2e9d7fc73be736675521,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
2637b4d27acb0bb91d5da1e3862a2008,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2640b319d3d6d1d9f85b0d1847a3581b,10000069,10000069,1380460970,七牛CDN 1380460970,0,0
