business,business_name,source,source_path
10000099,快手miniV2,node_day_ops_wide,v1_business_name_map_superset.csv
10000100,腾讯直播80组网,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000101,钛雾盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000102,钛雾Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000103,金山云专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000104,江苏移动in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000105,福建电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000106,百度快手移动,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000107,百度快手点播盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000108,山东电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000109,专项upB-out-电信,node_day_ops_wide,v1_business_name_map_superset.csv
10000110,百度直播专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000111,专项upB-out-mini-电信,node_day_ops_wide,v1_business_name_map_superset.csv
10000112,金山云汇聚V2,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000113,金山云直播盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000114,金山云直播盒子V2,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000115,杭州云算力,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000116,良九河北联通in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000117,炜业武汉下行in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000118,资兴江苏移动in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000119,牛犇安徽联通in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000120,专项upB-out-移动,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000121,专项upB-out-mini-移动,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000122,金山云汇聚ern,node_day_ops_wide,v1_business_name_map_superset.csv
10000123,金山云ern_HQ,node_day_ops_wide,v1_business_name_map_superset.csv
10000124,Miku盒子,node_day_ops_wide_full,v1_business_name_map_superset.csv
10000125,金山云云主机V6,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000126,金山云主机V4,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000127,七牛Pcdn盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000128,安徽电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000129,爱奇艺mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000130,金山云云主机k20,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
