node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
896be44f3488da47bb0a9eb00b6836c4,2146,aggregation,aggregation,serverDial,full,,self,specified,内蒙古,移动,包头,jarvis.A,host,False,default,1000,,,,,,,,,
ant245a8953f3248301cae487f75eb62,54699,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山西,联通,临汾,droid.B,host,False,,0,,,,,,,,,
ant235ffe3e4526a3232b49ce0e1bab8,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,四川,电信,乐山,droid.B,host,False,,0,,,,,,,,,
8a01bd9bc94d17f6c796e2738eec7000,1374,dedicated,dedicated,staticNetCouple,public,,self,specified,辽宁,移动,丹东,jarvis.A,host,False,default,1000,,,,,,,,,
43689ef4f015372481f0e32583df5439,2146,aggregation,aggregation,serverDial,full,,self,specified,河北,移动,保定,jarvis.A,host,False,rotate,10000,,,,,,,,,
ant22481751397c838529bc8b7b83467,89374,smallBox,aggregation,dhcpNetSingle,symmetric,联通,self,specified,河南,电信,许昌,droid.B,,False,default,0,android,armeabi-v7a,77.37,4.0,2053196.0,57799522385.0,0.0,0.0,57799522385.0
ant24fb06b50761b399fb171c8884b4e,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,四川,电信,宜宾,droid.B,host,False,,0,,,,,,,,,
ant26849f9f1cae0348fb96cbf39a0d1,77385,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,黑龙江,联通,绥化,droid.B,host,False,,0,,,,,,,,,
ant21ec5dce8e8b73f65b422ccbaf94a,77385,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,陕西,电信,渭南,droid.B,host,False,default,0,android,armeabi-v7a,60.03,4.0,1048576.0,5100273664.0,0.0,0.0,5100273664.0
ant26b538a8d39d53c74a045dc2ff476,28300,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,贵州,移动,黔东南,droid.B,host,False,,0,android,armeabi-v7a,72.44,4.0,2011696.0,58905476464.0,0.0,0.0,58905476464.0
