node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant1c1702b38501070286f169b26ba0b,1382490022,15.53,5.83,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2009bb2ce7e5f3a608a295113f805,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2009f4e9bb3093f5bb6645c5f2a06,10000149,5.31,5.41,1,10000129,2.9,5.22,1,10000251,1.24,5.22,1
ant200cd964c448c33198f1bbf99a308,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2010c8c7c2cf631128d54b76e0d05,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20119a091feec3f41b70df203f306,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20119a9a05dcb3fb6bc103ad2d106,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20159b243e2dd3e9daa87fa4bbd03,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20192afa54392311a8b93bee8b602,10000038,3.21,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant201aff1c0922b3342b0964f0ace05,10000149,5.31,5.41,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant201ba4a4a183f3e19ae73adc48102,10000050,4.74,5.22,1,10000251,3.15,5.22,1,10000303,1.68,5.22,1
ant202ff20a7959b37d89d0a6570ed0b,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant204f85e53e197397fa2444a8cb301,10000149,5.31,5.41,1,10000038,3.21,5.22,1,10000129,2.9,5.22,1
ant206271ebf66ca3b049b6582235905,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2066cd357f5a03d9494207300e909,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant206c700b2aca33ad2a6ad4f6f0c0c,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant206dcead71830371393884e7ae90c,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant207b4d7ea533a3c9b9a815010e902,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant208623238f95a341bb2e2cc4c6b06,10000050,3.11,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant208a4f8f3d7043afdb516272cb902,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2095ab86466143475bd1c9e3f3606,10000149,5.31,5.41,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
